Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
1,99,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:51.2845589Z
1,100,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:53.3799810Z
1,101,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:55.4843020Z
1,102,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:57.5880687Z
1,103,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:59.6857534Z
1,104,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:01.7893255Z
1,105,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:03.8954502Z
1,106,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:05.9948147Z
1,107,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:08.0938741Z
1,108,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:10.1884530Z
1,109,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:12.2790114Z
1,110,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:14.3685660Z
1,111,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:16.4699258Z
1,112,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:18.5682236Z
1,113,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:20.6622595Z
1,114,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:22.7565140Z
1,115,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:24.8615844Z
1,116,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:26.9627692Z
1,117,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:29.2597171Z
1,118,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:31.3590119Z
1,119,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:33.4520930Z
1,120,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:35.5472473Z
1,121,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:37.6502834Z
1,122,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:39.7473095Z
1,123,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:41.8484603Z
1,124,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:43.9510868Z
1,125,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:46.0516087Z
1,126,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:48.1581343Z
1,127,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:50.2497050Z
1,128,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:52.3423070Z
1,129,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:54.4347568Z
1,130,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:56.5262765Z
1,131,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:19:58.6150754Z
1,132,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:00.7116775Z
1,133,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:02.8133175Z
1,134,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:04.9103862Z
1,135,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:07.0118997Z
1,136,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:09.1083611Z
1,137,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:11.2128274Z
1,138,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:13.3161148Z
1,139,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:15.4122956Z
1,140,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:20:17.5146577Z
